Name,2019 Population,GDP (IMF),GDP (UN '16),GDP Per Capita,Longitude,Latitude
United States,329093.11,21410.23,18624.475,65058.27485,37.09024,-95.712891
China,1420062.022,15543.71,11218.28103,10945.79656,35.86166,104.195397
Japan,126854.745,5362.22,4936.211828,42270.55125,36.204824,138.252924
Germany,82438.639,4416.8,3477.796274,53576.81851,51.165691,10.451526
India,1368737.513,3155.23,2259.642383,2305.211898,20.593684,78.96288
France,65480.71,3060.07,2465.453975,46732.38882,46.227638,2.213749
United Kingdom,66959.016,3022.58,2647.898655,45140.74699,55.378051,-3.435973
Italy,59216.525,2261.46,1858.913164,38189.67763,41.87194,12.56738
Brazil,212392.717,2256.85,1795.925681,10625.83516,-14.235004,-51.92528
Canada,37279.811,1908.53,1529.760492,51194.73379,56.130366,-106.346771
South Korea,51339.238,1777.65,1411.24559,34625.56262,35.907757,127.766922
Russia,143895.551,1754.29,1246.015057,12191.41237,61.52401,105.318756
Spain,46441.049,1583.87,1237.25502,34104.95745,40.463667,-3.74922
Australia,25088.636,1581.89,1304.463105,63052.05273,-25.274398,133.775136
Mexico,132328.035,1285.08,1076.914464,9711.32081,23.634501,-102.552784
Indonesia,269536.482,1152.89,932.2591776,4277.305957,-0.789275,113.921327
Netherlands,17132.908,994.771,777.2275416,58062.00559,52.132633,5.291266
Turkey,82961.805,961.655,863.7117105,11591.53902,38.963745,35.243322
Switzerland,8608.259,779.327,668.8512962,90532.47585,46.818188,8.227512
Saudi Arabia,34140.662,759.219,639.6170509,22237.96949,23.885942,45.079162
Argentina,45101.781,659.694,545.8661645,14626.78381,-38.416097,-63.616672
Poland,38028.278,649.974,471.4022666,17091.8599,51.919438,19.145136
Sweden,10053.135,628.802,514.475857,62547.85199,60.128161,18.643501
Taiwan,23758.247,620.6,0,26121.45585,23.69781,120.960515
Belgium,11562.784,587.699,467.9552674,50826.77321,50.503887,4.469936
Thailand,69306.16,520.074,407.0263195,7504.008302,15.870032,100.992541
Austria,8766.201,503.538,390.7999911,57440.84581,47.516231,14.550072
Nigeria,200962.417,475.566,404.6491254,2366.442478,9.081999,8.675277
Norway,5400.916,460.177,371.0689332,85203.50992,60.472024,8.468946
United Arab Emirates,9682.088,427.83,348.7436276,44187.78264,23.424076,53.847818
Iran,82820.766,413.114,425.402616,4988.048529,32.427908,53.688046
Ireland,4847.139,409.225,304.8190198,84426.09135,53.41291,-8.24389
Malaysia,32454.455,402.605,296.5314695,12405.23065,4.210484,101.975766
Israel,8583.916,390.656,317.7475798,45510.23099,31.046051,34.851612
Hong Kong,7490.776,387.983,320.9122355,51794.76732,22.396428,114.109497
